ZipCode,City,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White,Predominant race,Population,Unemployment Rate,Total population of state
49453,SAUGATUCK,MI,7.97,11.625,14.59,18.885,19.185,47.0,20.395,33.35,8.84,11.535,25.115,2.315,846.0,240850.0,75055.0,16.1,28.95,0.556666667,1.076666667,2.278333333,95.78,White,2626,0.3,9861637
49454,SCOTTVILLE,MI,10.288,10.046,12.392,18.08,21.292,46.2,12.844,33.284,9.206,7.236000000000001,37.742,2.3525,825.75,126175.0,48428.25,18.425,28.175,0.2675,0.445,2.9525,97.2275,White,4574,7.4,9861637
49455,SHELBY,MI,9.064,10.69,13.048,15.902,22.64,45.4,12.116,34.812,12.21,7.173999999999999,34.212,2.45,740.0,112925.0,45818.0,16.575,29.5,0.3125,4.3,2.8725,89.92,White,5034,8.1,9861637
49456,SPRING LAKE,MI,10.875,11.93125,13.985,13.82125,19.72625,43.0,22.60625,27.33875,5.9325,12.17375,33.37,2.53125,824.625,187187.5,65700.0,17.225,26.3625,0.376,0.5579999999999999,1.552,96.538,White,18581,5.6,9861637
49457,TWIN LAKE,MI,11.44333333,12.77666667,13.98,14.58555556,15.06888889,39.66666667,11.50444444,38.18666667,9.122222222000001,4.031111111,38.48,2.586666667,791.1111111,122577.7778,56264.77778,16.74444444,25.9,0.153333333,0.41,3.513333333,94.38333333,White,10565,7.2,9861637
49458,WALHALLA,MI,9.7,11.33,11.49,16.39,19.1,42.0,10.61,38.96,10.56,4.35,36.33,2.53,777.0,108000.0,38149.0,20.7,38.5,0.543333333,1.275,1.933333333,95.24666667,White,119,0,9861637
49459,WALKERVILLE,MI,10.94,9.71,13.44,15.76,18.235,43.0,8.285,43.465,17.83,2.51,28.695,2.48,756.0,97850.0,42960.0,17.7,24.7,0.14,0.306666667,1.95,96.63333333,White,1351,11.5,9861637
49460,WEST OLIVE,MI,11.725,10.8975,15.08,16.97,14.9575,42.25,20.645,31.715,8.355,10.0225,29.4625,2.61,989.5,222225.0,80704.0,16.75,27.8,0.2725,0.465,2.9475,96.3675,White,8126,4.2,9861637
49461,WHITEHALL,MI,11.285,11.6475,13.48,16.815,16.0875,42.5,17.43,31.7925,6.105,7.3325,38.2325,2.505,826.0,143650.0,61658.75,15.8,21.375,0.69,0.93,7.42,88.665,White,8929,4.7,9861637
49464,ZEELAND,MI,12.214,13.679,13.044,11.489,13.714,36.3,17.865,35.109,8.676,8.148,30.901,2.763333333,896.6666667000002,186055.5556,72166.33333,16.66666667,30.75555556,0.51,0.455,4.505,93.84,White,27481,3.5,9861637
49468,GRANDVILLE,MI,22.14,8.99,11.11,12.17,13.38,33.0,14.95,28.4,14.31,7.89,33.85,2.43,763.0,123900.0,48160.0,19.6,25.2,0.2325,0.5775,2.5625,97.4325,White,0,2.7,9861637
49501,GRAND RAPIDS,MI,30.52,14.36,11.06,20.57,6.11,37.0,25.07,14.98,8.21,29.5,21.94,1.56,1237.0,310500.0,30417.0,9.0,29.8,0.26,0.56,3.59,97.29,White,0,7.1,9861637
49503,GRAND RAPIDS,MI,22.21434783,12.15130435,10.66869565,9.555217391000001,8.281304347999999,30.26086957,23.02478261,21.49478261,18.06130435,12.27608696,26.23565217,2.640434783,919.6521739,145243.4783,48781.17391,16.68695652,31.42608696,0.57,0.3175,2.5825,96.9825,White,35940,7.1,9861637
49504,GRAND RAPIDS,MI,17.56461538,11.39076923,10.30923077,11.81615385,12.91538462,33.92307692,21.57076923,27.28615385,11.12615385,8.747692308,31.75461538,2.459230769,810.0,130946.1538,51715.15385,16.51538462,32.00769231,0.37,0.4216666670000001,2.766666667,95.94,White,39994,5.5,9861637
49505,GRAND RAPIDS,MI,19.566,11.582,11.96,11.331,16.138,36.5,24.206,24.376,9.2,11.218,31.948,2.318,870.3,132820.0,51320.8,17.43,31.57,0.462222222,1.997777778,2.964444444,92.59555556,White,31216,4.9,9861637
49506,GRAND RAPIDS,MI,15.75142857,11.45,11.04214286,11.10857143,14.11285714,34.35714286,32.99785714,14.59285714,6.709285714,22.94571429,23.81214286,2.804615385,1047.076923,206430.7692,72962.46154,16.58461538,32.50769231,0.3775,0.58,2.025,95.785,White,31354,6.4,9861637
