Potential,Real,county,Difference
1769.315491358492,1778.9999999999998,Appling,-9.684508641507819
563.7988632910627,825.0,Atkinson,-261.20113670893727
1145.1146473413578,625.0,Bacon,520.1146473413578
295.7251470358757,652.0,Baker,-356.2748529641243
14286.889758318774,9140.0,Baldwin,5146.889758318774
2018.5877354960019,932.0,Banks,1086.5877354960019
12036.710807291272,10448.0,Barrow,1588.7108072912724
13459.972028326125,12053.0,Bartow,1406.972028326125
1552.6109043557433,2392.0,Ben Hill,-839.3890956442567
1751.7204696591616,1268.0,Berrien,483.7204696591616
36275.63343161846,43234.0,Bibb,-6958.366568381542
1288.1363987951966,1311.0,Bleckley,-22.863601204803444
1704.6317289546566,699.0,Brantley,1005.6317289546566
3420.5706128676766,2790.0000000000005,Brooks,630.5706128676761
5186.348694560122,6738.999999999999,Bryan,-1552.6513054398774
13318.121431598396,11243.0,Bulloch,2075.121431598396
2752.2364126426746,5208.999999999999,Burke,-2456.7635873573245
3296.698086310412,3271.0000000000005,Butts,25.698086310411327
428.2453102437265,1259.0,Calhoun,-830.7546897562735
6155.855340930754,7967.0,Camden,-1811.1446590692458
1054.8795969857383,1257.0,Candler,-202.12040301426168
17161.418380256913,16238.0,Carroll,923.4183802569132
6938.003849060634,6927.000000000001,Catoosa,11.003849060633001
1582.0459338654725,1102.0,Charlton,480.04593386547253
73220.36590878294,78128.0,Chatham,-4907.634091217056
701.0728349745253,667.0,Chattahoochee,34.072834974525335
2117.5992145288874,1854.0,Chattooga,263.5992145288874
57226.87342980406,42683.0,Cherokee,14543.873429804058
30445.68747638649,35882.0,Clarke,-5436.312523613509
335.0235237111942,789.9999999999999,Clay,-454.9764762888057
58959.2391073447,94365.0,Clayton,-35405.7608926553
1552.6604699911145,747.0000000000002,Clinch,805.6604699911143
209382.52454517948,221233.99999999997,Cobb,-11851.475454820495
3757.4357664951085,4463.0,Coffee,-705.5642335048915
2451.294090039804,4185.000000000001,Colquitt,-1733.705909960197
24044.2129411198,29175.0,Columbia,-5130.7870588802
2179.1054216420494,2059.0,Cook,120.10542164204935
27989.743556617643,24072.000000000004,Coweta,3917.743556617639
1782.2412781814164,1615.0,Crawford,167.24127818141642
2370.8285496074163,2980.0,Crisp,-609.1714503925837
1806.6786777344291,1261.0,Dade,545.6786777344291
5589.628930889715,2486.0,Dawson,3103.628930889715
309785.18200012407,305197.0,DeKalb,4588.18200012407
2547.378387902353,4780.0,Decatur,-2232.621612097647
2894.0357407754823,2170.0,Dodge,724.0357407754823
1830.2361728296175,1911.0000000000002,Dooly,-80.76382717038268
14628.232236977263,24407.0,Dougherty,-9778.767763022737
21564.369745214895,42609.0,Douglas,-21044.630254785105
911.3593134512481,2437.0,Early,-1525.640686548752
398.9800626470584,167.00000000000003,Echols,231.98006264705836
8920.143343264197,7706.0,Effingham,1214.143343264197
1341.891896418278,2878.9999999999995,Elbert,-1537.1081035817215
1590.351964922973,2884.0,Emanuel,-1293.648035077027
779.3392431442098,1324.0,Evans,-544.6607568557902
4491.784986780008,2571.0,Fannin,1920.7849867800078
25282.13094265753,31863.000000000004,Fayette,-6580.869057342472
9213.551960800469,10959.0,Floyd,-1745.4480391995312
57962.54491246554,42177.0,Forsyth,15785.544912465542
2522.38845838606,1593.0,Franklin,929.3884583860599
413595.2198337791,373569.0,Fulton,40026.21983377909
3943.9289068644844,2905.0,Gilmer,1038.9289068644844
781.1149441400368,155.0,Glascock,626.1149441400368
16309.03238366578,15857.0,Glynn,452.0323836657808
5815.360197692029,4384.0,Gordon,1431.360197692029
2196.1385848227783,3608.0,Grady,-1411.8614151772217
3474.9349933680787,4088.0,Greene,-613.0650066319213
223119.5645503202,241139.99999999997,Gwinnett,-18020.43544967976
6530.4969476473425,3559.0000000000005,Habersham,2971.496947647342
28097.892637663368,25002.0,Hall,3095.892637663368
1250.1471474505772,2985.0,Hancock,-1734.8528525494228
3951.384098807111,1792.0000000000002,Haralson,2159.3840988071106
